firstName,lastName,gameDate,points,reboundsTotal,assists,numMinutes
Casey,Example,2025-02-22,16,6,3,25
Casey,Example,2025-02-24,13,9,3,28
Casey,Example,2025-02-26,6,5,2,29
Casey,Example,2025-02-28,14,8,8,27
Casey,Example,2025-03-02,16,6,4,34
Casey,Example,2025-03-04,17,6,6,30
Casey,Example,2025-03-06,8,10,7,25
Casey,Example,2025-03-08,7,3,6,31
Casey,Example,2025-03-10,11,4,5,23
Casey,Example,2025-03-12,12,11,5,35
Casey,Example,2025-03-14,18,2,5,31
Casey,Example,2025-03-16,2,9,2,24
Casey,Example,2025-03-18,9,11,4,36
Casey,Example,2025-03-20,13,11,7,31
Casey,Example,2025-03-22,12,11,6,36
Casey,Example,2025-03-24,8,7,5,31
Casey,Example,2025-03-26,13,3,1,25
Casey,Example,2025-03-28,1,8,5,31
Casey,Example,2025-03-30,12,9,5,33
Casey,Example,2025-04-01,1,3,8,29
Casey,Example,2025-04-03,5,3,6,34
Casey,Example,2025-04-05,10,9,4,24
